Desktop_Software_Build_Version,1.7
Site_Name,,
Site_Number,,CCSW-1
Local_Start_Time,,2025-09-15 14:33:03
Local_End_Time,,2025-09-15 14:49:49
Local_Time_UTC_Offset_Hours,Hours,0.0000
Operator,,
Handheld_Serial_Number,,FT2H2408015
Handheld_Software_Version,,1.7
Wading Rod,,TopSetting
Handheld_Units_System,,Metric
Number_Of_Probes,,1
ADV_Serial_Number,,FT2P2408008
ADV_Firmware_Version,,1.30
ADV_Number_Of_Beams,,2
Comment,,
Calculations_Engine,,FlowTracker2
Number_Of_Stations,,10
Discharge_Equation,,MidSection
Rated_Discharge,m ³/s,NaN
Rated_Height,m ³/s,NaN
Minimum_Boundary_Status,,Good
Total_Width,m,4.8
Total_Area,m ²,1.726
Total_Discharge,m ³/s,0.12681
Mean_Depth,m,0.36
Mean_Velocity_Vx,m/s,0.073
Mean_Velocity_Vy,m/s,-0.003
Mean_Velocity_Vz,m/s,NaN
Mean_SNR,dB,29.309
Mean_VxErr,m/s,0.004
Mean_VyErr,m/s,0.003
Mean_VzErr,m/s,0
Mean_Temp,° C,24.801

Quality_Control_Checks
Station_Spacing,,Pass
Station_Order,,Pass
Water_Depth,,Pass
Boundary_Interference,,Pass
Fractional_Depth,,Pass
Low_SNR,,Pass
Approaching_Low_SNR,,Pass
Beam_SNRs_Similar,,Pass
Large_SNR_Variation,,Pass
SNR_Threshold_Variation,,Pass
Velocity_Standard_Error,,Pass
Percent_Of_Spikes,,Pass
Velocity_Angle,,Pass
Rod_Angle,,Pass
Station_Discharge,,Pass
End_Edge_Location,,Pass
Noise_Level,,Pass
Peak_Location,,Pass
Peak_Shape,,Pass
Pre_Calculation_Validation,,Pass

Discharge_Uncertainty_ISO
Overall,%,7.082
Accuracy,%,1
Depth,%,0.325
Velocity,%,2.255
Width,%,0.279
Method,%,4.187
#_Stations,%,5.134

Discharge_Uncertainty_IVE
Overall,%,9.711
Accuracy,%,1
Depth,%,3.142
Velocity,%,9.13
Width,%,0.279

Supplemental_Data,#,0
Record_Number,Date_And_Time,Gauge_Height (m),Rated_Discharge (m ³/s),Temperature (° C),Salinity (PSS),Comments

Automated_Beam_Check,#,1
Record_Number,Date_And_Time,Noise_Level_Check,SNR_Check,Peak_Location_Check,Peak_Shape_Check
01,2025-09-15 14:33:33,Pass,Pass,Fail,Pass

St,Clock,GPSLat,GPSLon,Loc,LocY,FinalD,IceD,WsIceD,WsSlushD,%Dep,MeasD,Npts,Spike,VelX,VelY,VelZ,Angle,VxErr,VyErr,VzErr,SNR1,SNR2,SNR3,Bnd,Temp,Tilt,CorrFact,MeanV,Area,Flow,%Q
(#),(),(deg N),(deg E),(m),(m),(m),(m),(m),(m),(),(m),(#),(#),(m/s),(m/s),(m/s),(deg),(m/s),(m/s),(m/s),(dB),(dB),(dB),(),(° C),(deg),(),(m/s),(m ²),(m ³/s),(%)
000,14:34:09,NaN,NaN,0,NaN,0,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Undefined,NaN,NaN,1.00,0.125,0,0,0
001,14:34:45,36.72853N,127.80080E,0.5,NaN,0.24,NaN,NaN,NaN,0.6,0.144,80,0,0.125,0.02,NaN,9.169,0.009,0.004,0,26.376,24.779,NaN,Best,24.808,2.272,1.00,0.125,0.12,0.01496,11.793
002,14:36:04,36.72858N,127.80084E,1,NaN,0.38,NaN,NaN,NaN,0.6,0.228,80,3,0.187,-0.022,NaN,-6.799,0.007,0.004,0,25.744,24.812,NaN,Best,24.808,2.352,1.00,0.187,0.19,0.03555,28.031
003,14:37:27,36.72857N,127.80082E,1.5,NaN,0.44,NaN,NaN,NaN,0.6,0.264,80,1,0.196,-0.004,NaN,-1.025,0.009,0.005,0,25.834,24.473,NaN,Best,24.781,2.081,1.00,0.196,0.22,0.04316,34.036
004,14:38:44,36.72853N,127.80079E,2,NaN,0.44,NaN,NaN,NaN,0.6,0.264,80,1,0.152,-0.007,NaN,-2.472,0.005,0.003,0,26.777,25.367,NaN,Best,24.772,2.157,1.00,0.152,0.22,0.03337,26.311
005,14:39:52,36.72848N,127.80074E,2.5,NaN,0.48,NaN,NaN,NaN,0.6,0.288,80,0,0.08,-0.002,NaN,-1.27,0.003,0.003,0,28.945,27.296,NaN,Best,24.787,2.13,1.00,0.08,0.24,0.01929,15.213
006,14:41:06,36.72848N,127.80074E,3,NaN,0.46,NaN,NaN,NaN,0.6,0.276,80,0,-0.005,-0.007,NaN,-122.85,0.001,0.002,0,39.039,37.488,NaN,Best,24.792,2.156,1.00,-0.005,0.23,-0.00107,-0.843
007,14:42:21,36.72852N,127.80079E,3.5,NaN,0.44,NaN,NaN,NaN,0.6,0.264,80,0,-0.034,0.001,NaN,178.109,0.001,0.001,0,34.451,32.966,NaN,Good,24.832,1.903,1.00,-0.034,0.22,-0.00755,-5.956
008,14:43:43,36.72850N,127.80080E,4,NaN,0.44,NaN,NaN,NaN,0.6,0.264,80,0,-0.038,0.005,NaN,172.679,0.001,0.001,0,32.998,31.596,NaN,Good,24.825,2.046,1.00,-0.038,0.286,-0.01089,-8.585
009,14:44:31,36.729,127.801,4.8,NaN,0,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Undefined,NaN,NaN,1.00,-0.038,0,0,0
